customer_id,age,gender,geography,tenure_years,num_products,has_credit_card,is_active_member,credit_score,account_balance,estimated_salary,num_transactions_6m,avg_transaction_amount,num_complaints,last_interaction_days_ago,mobile_app_logins_monthly,net_banking_active,branch_visits_year,has_loan,loan_default_history,emi_to_income_ratio,joining_date,last_transaction_date,churn,balance_salary_ratio,products_per_tenure,digital_engagement_score,customer_value,revenue_at_risk,age_tenure_ratio,zero_balance_flag,single_product_flag,credit_engagement_mismatch,complaint_risk_score,low_digital_activity,financial_stress_flag,wealth_tier,age_group,churn_risk_score,priority_score,high_value_customer,high_churn_risk
Cust00001,48.0,Female,Chennai,9.0,1.0,1.0,1.0,850.0,65450.59,81988.39,75.0,5252.33,2.0,239.0,5.0,1.0,21.0,0.0,0.0,0.349,2020-08-09,2022-03-08,1.0,0.7982812166305908,0.1,80.1,0.0558,2089.49,4.8,0,1,0,47.8,0,0,Mid,Senior,15.0,7.29,0,0
Cust00002,40.0,Male,Chennai,7.0,1.0,1.0,1.0,696.0,205404.13,88316.91,63.0,7608.74,0.0,363.0,36.0,1.0,10.0,1.0,1.0,0.191,2020-01-13,2023-10-17,0.0,2.3257358558416974,0.125,80.72,0.0572,4937.44,5.0,0,1,0,0.0,0,0,Mid,Mid-Career,15.0,17.65,0,0
Cust00003,50.0,Male,Hyderabad,0.0,1.0,1.0,1.0,600.0,57161.98,36638.21,69.0,15276.53,0.0,35.0,36.0,1.0,19.0,0.0,0.0,0.349,2020-02-11,2021-10-26,0.0,1.5601313456267207,1.0,80.72,0.0411,1842.56,50.0,0,1,0,0.0,0,0,Low,Senior,25.0,2.91,0,0
Cust00004,42.0,Female,Chennai,14.0,3.0,1.0,0.0,678.0,27691.38,46008.31,42.0,8734.69,0.0,482.0,49.0,0.0,21.0,0.0,0.0,0.349,2017-08-07,2024-11-19,0.0,0.6018647095555226,0.2,20.98,0.1362,2025.21,2.8,0,0,0,0.0,0,0,Low,Mid-Career,25.0,10.61,0,0
Cust00005,39.0,Male,Pune,4.0,2.0,0.0,1.0,792.0,35135.31,73524.88,41.0,7446.69,1.0,363.0,24.0,1.0,13.0,1.0,0.0,0.341,2019-01-12,2023-08-10,0.0,0.4778631687237201,0.4,60.48,0.0848,1871.27,7.8,0,0,0,36.3,0,0,Mid,Mid-Career,0.0,158.68,0,0
Cust00006,39.0,Female,Hyderabad,1.0,1.0,1.0,0.0,796.0,59073.21,74146.28,7.0,5392.58,0.0,504.0,41.0,0.0,5.0,0.0,0.0,0.349,2016-09-07,2024-10-08,0.0,0.7967009713640204,0.5,20.82,0.0434,1931.98,19.5,0,1,1,0.0,0,0,Mid,Mid-Career,60.0,1.37,0,1
Cust00007,63.0,Male,Bangalore,15.0,1.0,1.0,0.0,604.0,60400.01,31722.91,24.0,8155.5,0.0,72.0,29.0,1.0,1.0,1.0,1.0,0.375,2023-02-09,2024-07-26,0.0,1.903927037997523,0.0625,45.58,0.0632,1816.45,3.9375,0,1,0,0.0,0,0,Low,Retired,50.0,2.25,0,0
Cust00008,52.0,Male,Delhi,14.0,2.0,0.0,1.0,670.0,93010.53,118262.38,44.0,7994.36,0.0,160.0,22.0,1.0,19.0,0.0,0.0,0.349,2015-02-10,2021-01-29,0.0,0.7864694041384577,0.13333333333333333,60.44,0.1029,3213.2,3.466666666666667,0,0,0,0.0,0,0,High,Senior,0.0,330.64,0,0
Cust00009,36.0,,Hyderabad,5.0,2.0,1.0,1.0,536.0,20339.25,103992.03,68.0,11015.14,0.0,566.0,46.0,1.0,3.0,0.0,0.0,0.349,2022-04-26,2023-05-12,0.0,0.19558281934856597,0.3333333333333333,80.92,0.087,1732.9,6.0,0,0,0,0.0,0,0,High,Mid-Career,0.0,150.76,0,0
Cust00010,49.0,Female,Chennai,8.0,4.0,1.0,0.0,716.0,86032.98,40611.33,12.0,5342.61,0.0,328.0,14.0,1.0,29.0,0.0,0.0,0.349,2022-01-09,2024-08-17,0.0,2.1183955710002356,0.4444444444444444,45.28,0.1661,3536.53,5.444444444444445,0,0,1,0.0,0,0,Low,Senior,35.0,16.32,0,0
Cust00011,36.0,Female,Pune,4.0,2.0,0.0,1.0,774.0,120618.41,66665.36,55.0,3939.73,2.0,296.0,26.0,0.0,5.0,0.0,0.0,0.349,2018-06-07,2024-03-13,0.0,1.8092844727085744,0.4,35.52,0.0869,3518.43,7.2,0,0,0,59.2,0,0,Mid,Mid-Career,0.0,305.75,0,0
Cust00012,36.0,Male,Mumbai,3.0,1.0,1.0,1.0,650.0,90307.24,155381.59,4.0,5785.67,0.0,73.0,4.0,1.0,9.0,0.0,0.0,0.349,2018-08-30,2024-04-14,0.0,0.5811927835673225,0.25,80.08,0.0499,2885.53,9.0,0,1,0,0.0,0,0,Premium,Mid-Career,15.0,9.0,0,0
Cust00013,45.0,Female,Delhi,13.0,2.0,1.0,0.0,650.0,52595.86,81423.08,40.0,7564.71,1.0,335.0,1.0,1.0,27.0,0.0,0.0,0.349,2023-10-30,2021-06-09,0.0,0.6459496994009635,0.14285714285714285,45.02,0.099,2253.26,3.2142857142857144,0,0,0,33.5,0,0,Mid,Mid-Career,25.0,8.58,0,0
Cust00014,18.0,Male,Hyderabad,1.0,1.0,1.0,0.0,679.0,383133.7,90827.44,26.0,7893.83,3.0,444.0,37.0,1.0,20.0,0.0,0.0,0.349,2023-10-10,2025-03-17,0.0,4.218212929782786,0.5,45.74,0.0535,8504.92,9.0,0,1,0,133.2,0,0,Mid,Young,60.0,7.46,0,1
Cust00015,20.0,Male,Mumbai,11.0,4.0,1.0,1.0,683.0,56349.46,50642.58,59.0,7951.22,0.0,204.0,30.0,1.0,28.0,1.0,1.0,0.598,2017-08-19,2025-01-28,1.0,1.112667390417502,0.3333333333333333,80.6,0.1702,3009.07,1.6666666666666667,0,0,0,0.0,0,1,Mid,Young,15.0,32.01,0,0
Cust00016,35.0,Male,Bangalore,2.0,1.0,0.0,1.0,656.0,9016.83,62475.52,9.0,3045.26,0.0,195.0,41.0,1.0,11.0,0.0,0.0,0.349,2020-05-07,2024-02-15,1.0,0.14432349945227424,0.3333333333333333,60.82,0.0429,860.69,11.666666666666666,0,1,0,0.0,0,0,Mid,Mid-Career,25.0,1.42,0,0
Cust00017,29.0,Female,Kolkata,5.0,1.0,0.0,1.0,664.0,137855.22,135453.04,46.0,7572.76,0.0,663.0,39.0,1.0,0.0,1.0,1.0,0.153,2016-12-23,2022-12-19,1.0,1.0177268983634595,0.16666666666666666,60.78,0.0537,3774.64,4.833333333333333,0,1,0,0.0,0,0,High,Young,15.0,12.67,0,0
Cust00018,46.0,Female,Chennai,7.0,1.0,0.0,0.0,650.0,19081.01,79531.78,13.0,11418.15,2.0,503.0,49.0,1.0,22.0,0.0,0.0,0.349,2023-12-21,2022-09-13,0.0,0.2399137814621845,0.125,25.98,0.0517,1213.93,5.75,0,1,0,100.6,0,0,Mid,Senior,40.0,1.53,0,0
Cust00019,42.0,Female,Hyderabad,13.0,1.0,1.0,1.0,730.0,99941.49,72162.87,5.0,14361.27,0.0,396.0,29.0,0.0,2.0,0.0,0.0,0.349,2018-04-17,2023-04-27,0.0,1.3849242009886666,0.07142857142857142,55.58,0.063,2831.09,3.0,0,1,0,0.0,0,0,Mid,Mid-Career,15.0,11.15,0,0
Cust00020,42.0,Female,Chennai,7.0,1.0,0.0,1.0,709.0,15776.26,75305.64,53.0,12922.09,0.0,194.0,52.0,1.0,26.0,0.0,0.0,0.349,2023-07-13,2023-08-12,0.0,0.20949361171870104,0.125,61.04,0.0515,1145.97,5.25,0,1,0,0.0,0,0,Mid,Mid-Career,15.0,3.69,0,0
Cust00021,61.0,Male,Mumbai,4.0,1.0,1.0,1.0,650.0,1361.71,176815.31,61.0,7696.12,0.0,412.0,44.0,1.0,2.0,0.0,0.0,0.349,2016-11-27,2024-06-11,0.0,0.007701269187214687,0.2,80.88,0.0496,1211.46,12.2,0,1,0,0.0,0,0,Premium,Retired,25.0,2.31,0,0
Cust00022,39.0,Male,Ahmedabad,8.0,2.0,1.0,1.0,569.0,13929.09,76592.3,5.0,7208.45,0.0,16.0,38.0,1.0,18.0,1.0,1.0,0.212,2021-06-17,2024-09-11,1.0,0.18185781262851972,0.2222222222222222,80.76,0.0902,1457.04,4.333333333333333,0,0,0,0.0,0,0,Mid,Mid-Career,0.0,131.43,0,0
Cust00023,43.0,Male,Kolkata,9.0,1.0,0.0,1.0,630.0,37855.25,41796.93,76.0,14215.23,3.0,197.0,18.0,1.0,0.0,0.0,0.0,0.349,2019-11-24,2023-11-26,0.0,0.9056728407363714,0.1,60.36,0.0542,1466.45,4.3,0,1,0,59.1,0,0,Low,Mid-Career,25.0,3.06,0,0
Cust00024,23.0,Male,Mumbai,13.0,3.0,0.0,0.0,709.0,9019.3,48785.96,40.0,7450.64,0.0,476.0,3.0,1.0,0.0,0.0,0.0,0.349,2016-02-08,2021-02-13,1.0,0.18487112129962596,0.21428571428571427,25.06,0.1342,1650.04,1.6428571428571428,0,0,1,0.0,0,0,Low,Young,35.0,6.15,0,0
Cust00025,35.0,Female,Delhi,12.0,2.0,1.0,0.0,662.0,17619.73,106230.24,1.0,12335.59,0.0,292.0,26.0,1.0,7.0,1.0,0.0,0.453,2015-11-20,2023-01-22,0.0,0.16586203832319005,0.15384615384615385,45.52,0.0975,1700.67,2.6923076923076925,0,0,0,0.0,0,0,High,Mid-Career,25.0,6.38,0,0
Cust00026,43.0,Female,Mumbai,2.0,3.0,0.0,1.0,599.0,115726.46,17860.75,35.0,7854.52,1.0,579.0,8.0,1.0,15.0,0.0,0.0,0.349,2023-02-19,2021-06-03,0.0,6.4790101753747535,1.0,60.16,0.1199,3664.52,14.333333333333334,0,0,0,57.9,0,0,Low,Mid-Career,10.0,39.94,0,0
Cust00027,27.0,Female,Delhi,15.0,1.0,1.0,1.0,671.0,117533.6,93023.32,28.0,100.0,1.0,460.0,28.0,0.0,15.0,0.0,0.0,0.349,2023-11-01,2024-02-04,0.0,1.263471745883227,0.0625,55.56,0.0664,3123.77,1.6875,0,1,0,46.0,0,0,Mid,Young,15.0,12.96,0,0
Cust00028,47.0,Female,Bangalore,14.0,1.0,1.0,1.0,624.0,136075.25,46047.3,51.0,11320.1,0.0,395.0,6.0,1.0,3.0,0.0,0.0,0.349,2021-09-16,2021-03-02,0.0,2.9550548011544397,0.06666666666666667,80.12,0.0645,3418.9,3.1333333333333333,0,1,0,0.0,0,0,Low,Senior,15.0,13.78,0,0
Cust00029,34.0,Male,Chennai,6.0,2.0,0.0,1.0,720.0,56349.46,10000.0,66.0,12831.27,0.0,363.0,41.0,0.0,11.0,0.0,0.0,0.349,2020-09-21,2022-02-16,0.0,5.634382561743825,0.2857142857142857,35.82,0.0866,2095.3,4.857142857142857,0,0,0,0.0,0,0,Low,Mid-Career,0.0,181.45,0,0
