customer_id,age,gender,geography,tenure_years,num_products,has_credit_card,is_active_member,credit_score,account_balance,estimated_salary,num_transactions_6m,avg_transaction_amount,num_complaints,last_interaction_days_ago,mobile_app_logins_monthly,net_banking_active,branch_visits_year,has_loan,loan_default_history,emi_to_income_ratio,joining_date,last_transaction_date,churn,balance_salary_ratio,products_per_tenure,digital_engagement_score,customer_value,revenue_at_risk,age_tenure_ratio,zero_balance_flag,single_product_flag,credit_engagement_mismatch,complaint_risk_score,low_digital_activity,financial_stress_flag,wealth_tier,age_group,churn_risk_score,priority_score,high_value_customer,high_churn_risk,churn_probability,recoverable_revenue,customer_lifetime_value,risk_tier,recommended_action,recommendation_reason,expected_impact
Cust00001,48.0,Female,Chennai,9.0,1.0,1.0,1.0,850.0,65450.59,81988.39,75.0,5252.33,2.0,239.0,5.0,1.0,21.0,0.0,0.0,0.349,2020-08-09,2022-03-08,1.0,0.7982812166305908,0.1,80.1,0.0558,2089.49,4.8,0,1,0,47.8,0,0,Mid,Senior,15.0,0.000386,0,0,0.795,581.4,65991.48,High Risk,Cross-Sell Credit Card or Investment Product,Single-product customers churn significantly more,Medium
Cust00002,40.0,Male,Chennai,7.0,1.0,1.0,1.0,696.0,205404.13,88316.91,63.0,7608.74,0.0,363.0,36.0,1.0,10.0,1.0,1.0,0.191,2020-01-13,2023-10-17,0.0,2.3257358558416974,0.125,80.72,0.0572,4937.44,5.0,0,1,0,0.0,0,0,Mid,Mid-Career,15.0,0.000209,0,0,0.1782,307.95,98467.0,Low Risk,Cross-Sell Credit Card or Investment Product,Single-product customers churn significantly more,Medium
Cust00003,50.0,Male,Hyderabad,0.0,1.0,1.0,1.0,600.0,57161.98,36638.21,69.0,15276.53,0.0,35.0,36.0,1.0,19.0,0.0,0.0,0.349,2020-02-11,2021-10-26,0.0,1.5601313456267207,1.0,80.72,0.0411,1842.56,50.0,0,1,0,0.0,0,0,Low,Senior,25.0,3.3e-05,0,0,0.1039,67.0,186033.22,Low Risk,Cross-Sell Credit Card or Investment Product,Single-product customers churn significantly more,Medium
Cust00004,42.0,Female,Chennai,14.0,3.0,1.0,0.0,678.0,27691.38,46008.31,42.0,8734.69,0.0,482.0,49.0,0.0,21.0,0.0,0.0,0.349,2017-08-07,2024-11-19,0.0,0.6018647095555226,0.2,20.98,0.1362,2025.21,2.8,0,0,0,0.0,0,0,Low,Mid-Career,25.0,0.000789,0,0,0.6875,487.32,108647.02,High Risk,Loyalty Rewards / Cashback Activation Offer,Inactive customers are more likely to churn,High
Cust00005,39.0,Male,Pune,4.0,2.0,0.0,1.0,792.0,35135.31,73524.88,41.0,7446.69,1.0,363.0,24.0,1.0,13.0,1.0,0.0,0.341,2019-01-12,2023-08-10,0.0,0.4778631687237201,0.4,60.48,0.0848,1871.27,7.8,0,0,0,36.3,0,0,Mid,Mid-Career,0.0,0.000131,0,0,0.1984,129.94,92414.34,Low Risk,Standard Retention Email Campaign,Low-risk customer requiring periodic engagement,Low
Cust00006,39.0,Female,Hyderabad,1.0,1.0,1.0,0.0,796.0,59073.21,74146.28,7.0,5392.58,0.0,504.0,41.0,0.0,5.0,0.0,0.0,0.349,2016-09-07,2024-10-08,0.0,0.7967009713640204,0.5,20.82,0.0434,1931.98,19.5,0,1,1,0.0,0,0,Mid,Mid-Career,60.0,0.0002,0,1,0.5743,388.34,67483.16,Medium Risk,Loyalty Rewards / Cashback Activation Offer,Inactive customers are more likely to churn,High
Cust00007,63.0,Male,Bangalore,15.0,1.0,1.0,0.0,604.0,60400.01,31722.91,24.0,8155.5,0.0,72.0,29.0,1.0,1.0,1.0,1.0,0.375,2023-02-09,2024-07-26,0.0,1.903927037997523,0.0625,45.58,0.0632,1816.45,3.9375,0,1,0,0.0,0,0,Low,Retired,50.0,0.000251,0,0,0.5265,334.73,100678.0,Medium Risk,Loyalty Rewards / Cashback Activation Offer,Inactive customers are more likely to churn,High
Cust00008,52.0,Male,Delhi,14.0,2.0,0.0,1.0,670.0,93010.53,118262.38,44.0,7994.36,0.0,160.0,22.0,1.0,19.0,0.0,0.0,0.349,2015-02-10,2021-01-29,0.0,0.7864694041384577,0.1333333333333333,60.44,0.1029,3213.2,3.466666666666667,0,0,0,0.0,0,0,High,Senior,0.0,0.000195,0,0,0.142,159.7,100722.64,Low Risk,Standard Retention Email Campaign,Low-risk customer requiring periodic engagement,Low
Cust00009,36.0,,Hyderabad,5.0,2.0,1.0,1.0,536.0,20339.25,103992.03,68.0,11015.14,0.0,566.0,46.0,1.0,3.0,0.0,0.0,0.349,2022-04-26,2023-05-12,0.0,0.1955828193485659,0.3333333333333333,80.92,0.087,1732.9,6.0,0,0,0,0.0,0,0,High,Mid-Career,0.0,8.6e-05,0,0,0.137,83.09,134791.86,Low Risk,Standard Retention Email Campaign,Low-risk customer requiring periodic engagement,Low
Cust00010,49.0,Female,Chennai,8.0,4.0,1.0,0.0,716.0,86032.98,40611.33,12.0,5342.61,0.0,328.0,14.0,1.0,29.0,0.0,0.0,0.349,2022-01-09,2024-08-17,0.0,2.118395571000236,0.4444444444444444,45.28,0.1661,3536.53,5.444444444444445,0,0,1,0.0,0,0,Low,Senior,35.0,0.000939,0,0,0.3842,475.56,70692.31,Medium Risk,Loyalty Rewards / Cashback Activation Offer,Inactive customers are more likely to churn,High
