Feature,Mean_SHAP_Importance
has_loan,1.3190178
loan_default_history,1.244339
is_active_member,0.79994357
num_products,0.74951714
complaint_risk_score,0.39298052
digital_engagement_score,0.35975623
has_credit_card,0.3355849
num_transactions_6m,0.32821262
num_complaints,0.29784197
single_product_flag,0.2826174
last_interaction_days_ago,0.22978938
credit_score,0.21931976
churn_risk_score,0.21745962
avg_transaction_amount,0.20360179
net_banking_active,0.1660774
age_group,0.110505976
account_balance,0.10598122
revenue_at_risk,0.095431685
estimated_salary,0.090569995
priority_score,0.08985891
mobile_app_logins_monthly,0.08725784
balance_salary_ratio,0.08724981
products_per_tenure,0.0795839
age,0.06414691
tenure_years,0.059294384
age_tenure_ratio,0.052531596
geography,0.04688193
gender,0.046217993
branch_visits_year,0.03879818
emi_to_income_ratio,0.038157757
wealth_tier,0.031149982
customer_value,0.028110895
financial_stress_flag,0.023149949
high_churn_risk,0.01900647
credit_engagement_mismatch,0.009314747
low_digital_activity,0.0022721172
zero_balance_flag,0.0
high_value_customer,0.0
