customer_id,age,gender,geography,tenure_years,num_products,has_credit_card,is_active_member,credit_score,account_balance,estimated_salary,num_transactions_6m,avg_transaction_amount,num_complaints,last_interaction_days_ago,mobile_app_logins_monthly,net_banking_active,branch_visits_year,has_loan,loan_default_history,emi_to_income_ratio,joining_date,last_transaction_date,churn
CUST00001,48.0,Female,Chennai,9.0,1.0,1.0,1.0,850.0,65450.59,81988.39,75.0,5252.33,2.0,239.0,5.0,1,21.0,0.0,0.0,,2020-08-09,2022-03-08,1
CUST00002,40.0,Male,Chennai,7.0,1.0,1.0,1.0,696.0,205404.13,88316.91,63.0,7608.74,0.0,,36.0,NO,10.0,1.0,1.0,0.191,2020-01-13,2023-10-17,0
CUST00003,50.0,Male,Hyderabad,0.0,1.0,1.0,1.0,600.0,57161.98,36638.21,69.0,15276.53,0.0,35.0,36.0,NO,19.0,0.0,0.0,,2020-02-11,2021-10-26,0
CUST00004,,Female,Chennai,14.0,3.0,1.0,0.0,678.0,27691.38,46008.31,42.0,8734.69,0.0,482.0,49.0,0,21.0,0.0,0.0,,2017-08-07,2024-11-19,0
CUST00005,39.0,Male,Pune,4.0,2.0,0.0,1.0,792.0,35135.31,73524.88,41.0,7446.69,1.0,,24.0,NO,13.0,1.0,0.0,0.341,2019-01-12,2023-08-10,0
CUST00006,39.0,Female,Hyderabad,1.0,1.0,1.0,0.0,796.0,59073.21,74146.28,7.0,5392.58,0.0,504.0,41.0,0,5.0,0.0,0.0,,2016-09-07,2024-10-08,0
CUST00007,63.0,Male,Bangalore,15.0,1.0,1.0,0.0,604.0,60400.01,31722.91,24.0,8155.5,0.0,72.0,,NO,1.0,1.0,1.0,0.375,2023-02-09,2024-07-26,0
CUST00008,52.0,Male,Delhi,14.0,,0.0,1.0,670.0,93010.53,118262.38,44.0,7994.36,0.0,160.0,22.0,NO,19.0,0.0,0.0,,2015-02-10,2021-01-29,0
CUST00009,36.0,,Hyderabad,5.0,2.0,1.0,1.0,536.0,20339.25,103992.03,68.0,11015.14,0.0,566.0,46.0,NO,3.0,0.0,0.0,,2022-04-26,2023-05-12,0
CUST00010,49.0,Female,Chennai,8.0,4.0,1.0,0.0,716.0,86032.98,40611.33,12.0,5342.61,0.0,328.0,14.0,YES,29.0,0.0,0.0,,2022-01-09,2024-08-17,0
CUST00011,36.0,Female,Pune,4.0,2.0,0.0,1.0,774.0,120618.41,66665.36,55.0,3939.73,2.0,296.0,26.0,0,5.0,0.0,0.0,,2018-06-07,2024-03-13,0
CUST00012,36.0,Male,Mumbai,3.0,1.0,1.0,1.0,,90307.24,155381.59,4.0,5785.67,0.0,73.0,4.0,1,9.0,0.0,0.0,,2018-08-30,2024-04-14,0
CUST00013,45.0,Female,Delhi,13.0,2.0,1.0,0.0,,52595.86,81423.08,,7564.71,1.0,335.0,1.0,1,27.0,0.0,0.0,,2023-10-30,2021-06-09,0
CUST00014,18.0,Male,Hyderabad,1.0,1.0,1.0,0.0,679.0,383133.7,90827.44,26.0,7893.83,3.0,444.0,37.0,1,20.0,0.0,0.0,,2023-10-10,2025-03-17,0
CUST00015,20.0,Male,Mumbai,11.0,4.0,1.0,1.0,683.0,,50642.58,59.0,7951.22,0.0,204.0,30.0,YES,28.0,1.0,1.0,0.598,2017-08-19,2025-01-28,1
CUST00016,35.0,Male,Bangalore,2.0,1.0,0.0,1.0,656.0,9016.83,62475.52,9.0,3045.26,0.0,195.0,41.0,1,11.0,0.0,0.0,,2020-05-07,2024-02-15,1
CUST00017,29.0,Female,Kolkata,5.0,1.0,0.0,1.0,664.0,137855.22,135453.04,46.0,7572.76,0.0,663.0,39.0,YES,0.0,1.0,1.0,0.153,2016-12-23,2022-12-19,1
